a,b,sim,mode,p1_final_edges,p2_final_edges,edge_jaccard,gap,ab_after_sim_ratio,sim_after_ab_ratio
2,2,0.27,both,0,0,1.0,0.0,0.0,0.0
2,2,0.28,sim_left,0,0,1.0,0.0,0.0,0.0
2,2,0.28,both,0,0,1.0,0.0,0.0,0.0
2,2,0.29,sim_left,0,0,1.0,0.0,0.0,0.0
2,2,0.29,both,0,0,1.0,0.0,0.0,0.0
2,2,0.3,sim_left,0,0,1.0,0.0,0.0,0.0
2,2,0.3,both,0,0,1.0,0.0,0.0,0.0
2,3,0.1,sim_left,1146,1146,1.0,0.0,0.9896373056994818,1.0
2,3,0.1,both,1146,1146,1.0,0.0,0.9896373056994818,1.0
2,3,0.11,sim_left,1146,1146,1.0,0.0,0.9896373056994818,1.0
2,3,0.11,both,1146,1146,1.0,0.0,0.9896373056994818,1.0
2,3,0.12,sim_left,1141,1141,1.0,0.0,0.98959236773634,0.9956369982547993
2,3,0.12,both,1141,1141,1.0,0.0,0.98959236773634,0.9956369982547993
2,3,0.13,sim_left,1122,1111,0.9901960784313726,0.00980392156862745,0.9875555555555555,0.9790575916230366
2,3,0.13,both,1112,1111,0.9812834224598931,0.0008992805755395684,0.9875555555555555,0.9703315881326352
2,3,0.14,sim_left,995,977,0.9819095477386934,0.018090452261306532,0.9702085402184707,0.868237347294939
2,3,0.14,both,967,959,0.9713408393039918,0.008273009307135471,0.9696663296258847,0.8438045375218151
2,3,0.15,sim_left,919,868,0.9445048966267682,0.055495103373231776,0.9486338797814208,0.8019197207678883
2,3,0.15,both,867,824,0.9325714285714286,0.049596309111880045,0.9460390355912744,0.756544502617801
2,3,0.16,sim_left,695,552,0.7942446043165468,0.20575539568345325,0.8518518518518519,0.606457242582897
2,3,0.16,both,610,490,0.7915309446254072,0.19672131147540983,0.8477508650519031,0.5322862129144852
2,3,0.17,sim_left,554,418,0.7545126353790613,0.24548736462093862,0.7992351816443595,0.48342059336823734
2,3,0.17,both,443,334,0.738255033557047,0.24604966139954854,0.7877358490566038,0.3865619546247818
2,3,0.18,sim_left,503,389,0.7733598409542743,0.22664015904572565,0.7874493927125507,0.4389179755671902
2,3,0.18,both,402,310,0.7536945812807881,0.22885572139303484,0.775,0.3507853403141361
2,3,0.19,sim_left,347,233,0.6714697406340058,0.3285302593659942,0.6638176638176638,0.30279232111692844
2,3,0.19,both,215,111,0.4885844748858447,0.48372093023255813,0.4977578475336323,0.18760907504363003
2,3,0.2,sim_left,322,214,0.6645962732919255,0.33540372670807456,0.656441717791411,0.28097731239092494
2,3,0.2,both,203,109,0.5145631067961165,0.4630541871921182,0.5190476190476191,0.17713787085514834
2,3,0.21,sim_left,231,93,0.4025974025974026,0.5974025974025974,0.45365853658536587,0.20157068062827224
2,3,0.21,both,102,28,0.27450980392156865,0.7254901960784313,0.3146067415730337,0.08900523560209424
2,3,0.22,sim_left,163,63,0.38650306748466257,0.6134969325153374,0.4090909090909091,0.14223385689354276
2,3,0.22,both,72,28,0.3888888888888889,0.6111111111111112,0.417910447761194,0.06282722513089005
2,3,0.23,sim_left,121,27,0.2231404958677686,0.7768595041322314,0.24107142857142858,0.1055846422338569
2,3,0.23,both,38,0,0.0,1.0,0.0,0.03315881326352531
2,3,0.24,sim_left,64,0,0.0,1.0,0.0,0.055846422338568937
2,3,0.24,both,26,0,0.0,1.0,0.0,0.02268760907504363
2,3,0.25,sim_left,64,0,0.0,1.0,0.0,0.055846422338568937
2,3,0.25,both,26,0,0.0,1.0,0.0,0.02268760907504363
2,3,0.26,sim_left,19,0,0.0,1.0,0.0,0.016579406631762654
2,3,0.26,both,4,0,0.0,1.0,0.0,0.0034904013961605585
2,3,0.27,sim_left,0,0,1.0,0.0,0.0,0.0
2,3,0.27,both,0,0,1.0,0.0,0.0,0.0
2,3,0.28,sim_left,0,0,1.0,0.0,0.0,0.0
2,3,0.28,both,0,0,1.0,0.0,0.0,0.0
